URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eightmjg/coming/mr_big.mjg.txt	chorus mr big mr big they call him mr big		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/relapse/my_mom.mnm.txt	aight i'ma lay the chorus first		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/relapse/we_made.mnm.txt	jessica simpson sing the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/encore/like_toy.mnm.txt	and maybe shout 'em out in a rap or up in the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/marshall/kill_you.mnm.txt	 bitch i'ma kill you i ain't done this ain't the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/marshall/kill_you.mnm.txt	chorus (first line starts or i'ma kill you		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/marshall/stan.mnm.txt	2nd chorus full volume with beat right after thunder noise		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/shady_lp/my_fault.mnm.txt	        2nd repeat same as original chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/shady_lp/my_fault.mnm.txt	        2nd repeat same as original chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/shady_lp/my_fault.mnm.txt	        2nd repeat same as original chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eminem/slmshady/low_down.mnm.txt	chorus eminem +  - 2x		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/sermon/chilltwn/doyouknw.srm.txt	this chorus made for you so y'all sing along come on		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/sermon/insomnia/fear.esc.txt	by the time you catch the next chorus i hope my lyrics mase ya		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/esham/repent/backinda.esh.txt	i dedicate this to detroit now i'ma sing the chorus		
